W3.ID,City/Region (S6.1),State/Province,State/Country (S6.2),Year (S8.2),Country Population,Population Million,Climate Pattern,Precipitation ,Temperature C ,Area (km2),Pop. Density,Household Size ,Urbanization (%),Expense (% of GDP),Unemployment (%),Age (15-64) %,Age (65+) %,Per Capita Energy Demand ,Energy Demand  (Million kWh) ,Country GDP/Capita 2015 $ ,Service,Service GDP%,Education Index (HDI) ,Sustainability Index,Waste Regulations 
27,,,Malta,2004, 0.40 ,0.401,Csa,s,Ca, 320 ,1253.1,2.86,93.41,63.20,7.32,68.65,13.39," 5,186 "," 2,081 "," 17,653 ",63.4,74.7,0.70,75.75,Yes
28,Kraków,,Poland,2003, 38.20 ,0.757,Cfb,f,Cb, 327 ,2316.4,2.81,100.00,65.02,19.37,69.59,12.79," 3,296 "," 125,922 "," 7,878 ",58.0,64.1,0.81,80.22,Yes
29,Kutaisi,,Georgia,2011, 3.76 ,0.194,Cfa,f,Ca, 68 ,2868.1,3.34,100.00,82.24,19.63,67.71,14.19," 2,544 "," 9,557 "," 3,357 ",61.7,71.4,0.78,72.23,Yes
30,Kaunas,,Lithuania,2011, 3.03 ,0.344,Dfb,f,Db, 157 ,2191.1,2.35,100.00,62.40,15.39,67.79,17.57," 3,439 "," 10,415 "," 12,042 ",58.5,67.5,0.86,76.70,Yes
31,Saint Petersburg,,Russia,2010, 142.85 ,4.600,Dfb,f,Db, 606 ,7593.3,2.58,100.00,51.49,7.37,71.97,13.11," 6,646 "," 949,353 "," 10,675 ",53.1,61.4,0.77,73.75,Yes
32,Boryspil,,Ukraine,2011, 45.71 ,0.059,Dfb,f,Db, 37 ,1594.6,2.46,100.00,67.86,7.85,69.98,15.66," 3,793 "," 173,343 "," 3,138 ",53.5,62.3,0.79,75.51,Yes
33,Beijing,,China,2002," 1,280.40 ",14.200,BSk,BS,k," 1,368 ",10377.7,3.38,100.00,44.91,4.24,69.64,7.08," 1,168 "," 1,496,004 "," 2,558 ",42.2,40.9,0.50,72.06,Yes
34,Beijing,,China,2004," 1,296.08 ",14.900,BSk,BS,k," 1,368 ",10889.3,3.38,100.00,40.61,4.49,71.51,7.37," 1,543 "," 2,000,014 "," 3,062 ",41.2,40.9,0.52,72.06,Yes
35,Beijing,,China,2006," 1,311.02 ",15.800,BSk,BS,k," 1,368 ",11547.0,3.38,100.00,37.75,4.43,72.67,7.61," 2,005 "," 2,628,186 "," 3,801 ",41.8,40.9,0.55,72.06,Yes
36,Beijing,,China,2008," 1,324.66 ",17.000,BSk,BS,k," 1,368 ",12424.0,3.38,100.00,35.29,4.59,73.13,7.82," 2,406 "," 3,187,380 "," 4,712 ",42.9,43.7,0.58,72.06,Yes
37,Beijing,,China,2010," 1,337.71 ",19.600,BSk,BS,k," 1,368 ",14324.1,3.38,100.00,34.33,4.53,73.27,8.07," 2,902 "," 3,881,719 "," 5,647 ",44.2,43.7,0.60,72.06,Yes
38,Beijing,,China,2015," 1,379.86 ",20.384,BSk,BS,k," 1,368 ",14897.1,3.38,100.00,37.77,4.63,72.61,9.33," 3,883 "," 5,357,455 "," 8,067 ",50.8,50.3,0.64,72.06,Yes
